% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE genesis_basin {NA, SA, WP, EP, SP, NI, SI}
@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE time REAL
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
WP,TS,main,55083.0,119.099998474,16.8999996185,100,0.0,1002.0,True
WP,ET,main,35729.0,131.300003052,17.6000003815,846,0.0,1006.0,True
WP,TS,main,49565.25,144.0,15.0,1936,0.0,1006.0,True
NA,ET,main,36481.25,278.700012207,19.1999988556,291,30.0,0.0,True
WP,ET,main,46601.75,134.0,10.1999998093,859,0.0,1004.0,True
WP,ET,main,52853.75,140.199996948,12.3999996185,1553,0.0,1004.0,True
WP,ET,main,36885.0,137.300003052,7.7999997139,971,0.0,998.0,True
WP,ET,main,42732.25,143.099990845,6.69999980927,1060,0.0,996.0,True
WP,TS,main,55810.25,134.5,19.5,1244,0.0,1004.0,True
WP,ET,main,43007.25,142.0,16.0,1829,0.0,1004.0,True
NA,TS,main,41197.5,272.5,27.5,229,25.0,0.0,True
WP,TS,main,49212.75,142.0,8.0,1155,0.0,1008.0,True
WP,TS,main,56520.5,123.399993896,22.5,215,0.0,1002.0,True
NA,TS,main,36716.5,273.399993896,23.7999992371,260,30.0,0.0,True
NA,TS,main,43432.75,276.799987793,17.2999992371,204,25.0,1011.0,True
WP,ET,main,34651.75,111.799995422,18.6999988556,130,0.0,1008.0,True
NA,ET,main,53619.25,281.399993896,25.7999992371,92,25.0,1009.0,True
WP,TS,main,50659.25,116.399993896,16.1999988556,353,0.0,1000.0,True
WP,TS,main,34307.0,147.800003052,4.59999990463,752,0.0,1002.0,True
WP,ET,main,37865.75,156.0,22.0,2112,0.0,1002.0,True
NA,ET,main,54710.25,323.0,17.1999988556,2103,30.0,1006.0,True
NA,TS,merge,42304.5,295.0,15.2999992371,313,30.0,0.0,True
NA,ET,main,34979.5,285.0,23.7999992371,284,30.0,0.0,True
NA,TS,main,36445.25,303.399993896,13.6999998093,584,30.0,0.0,True
WP,TS,main,43711.25,114.0,17.7999992371,374,0.0,1002.0,True
NA,TS,main,55792.0,278.0,15.3999996185,126,30.0,1006.0,True
WP,TS,main,50331.0,134.199996948,15.0999994278,994,0.0,1004.0,True
WP,ET,main,37153.75,140.0,20.0,1535,0.0,1002.0,True
WP,TS,main,54003.0,129.099990845,11.8000001907,370,0.0,1008.0,True
WP,TS,main,53952.0,148.5,10.0,1361,0.0,1004.0,True
WP,TS,main,54371.75,125.0,17.2999992371,267,0.0,1000.0,True
SI,TS,main,52695.0,43.5,-21.5,0,20.0,1004.0,True
EP,DS,main,55840.75,268.299987793,9.69999980927,472,20.0,1009.0,True
NA,TS,main,45968.5,287.0,23.3999996185,245,30.0,1003.0,True
WP,TS,main,48478.0,159.300003052,21.6999988556,2370,0.0,1002.0,True
WP,ET,main,42991.25,153.0,9.0,1331,0.0,1004.0,True
NA,ET,main,51759.75,342.0,10.8000001907,221,25.0,1007.0,True
WP,ET,main,55700.75,141.599990845,8.30000019073,1171,0.0,1006.0,True
WP,TS,main,46720.25,130.0,10.5,441,0.0,1000.0,True
WP,ET,main,42372.25,141.699996948,9.39999961853,1292,0.0,1000.0,True
EP,ET,main,37927.0,252.700012207,17.0,361,45.0,0.0,True
WP,ET,main,45199.0,151.399993896,8.0999994278,1211,0.0,1004.0,True
WP,TS,main,43114.0,131.0,9.0,505,0.0,1004.0,True
EP,TS,main,48854.0,254.0,15.5,411,25.0,1011.0,True
NA,ET,main,51808.5,337.0,11.5,682,30.0,1008.0,True
EP,TS,main,37613.0,257.0,14.5999994278,364,75.0,0.0,True
EP,DS,main,53258.75,266.5,11.1999998093,383,30.0,1005.0,True
EP,TS,main,44885.75,255.5,14.5,436,25.0,0.0,True
EP,ET,main,38319.5,249.399993896,15.1999998093,754,75.0,0.0,True
WP,TS,main,41966.0,144.099990845,11.5,1548,0.0,1004.0,True
NA,ET,main,36467.25,308.5,18.5,1343,25.0,0.0,True
NA,DS,main,55462.5,285.200012207,13.6999998093,287,30.0,1008.0,True
WP,TS,main,56151.0,132.0,16.7999992371,868,0.0,1004.0,True
EP,ET,main,43774.0,259.5,14.0999994278,303,30.0,0.0,True
NA,ET,main,52469.75,283.200012207,34.2999992371,44,30.0,1009.0,True
WP,TS,main,56501.75,123.299995422,13.0999994278,0,0.0,1006.0,True
NA,TS,main,44784.5,295.0,36.0,767,35.0,1012.0,True
WP,ET,main,56088.5,148.599990845,7.19999980927,1050,0.0,1008.0,True
WP,ET,main,51749.0,123.899993896,17.8999996185,172,0.0,1000.0,True
WP,TS,main,48834.0,131.0,20.0,930,0.0,1008.0,True
SI,TS,main,43858.25,41.3999977112,-16.2999992371,126,0.0,0.0,True
NA,ET,main,36014.25,266.700012207,21.6000003815,313,60.0,0.0,True
NA,ET,main,38651.25,315.700012207,14.6999998093,1394,30.0,0.0,True
WP,TS,main,45046.0,161.0,4.0,1260,0.0,1004.0,True
WP,TS,main,52864.75,156.0,7.19999980927,1245,0.0,1008.0,True
WP,TS,main,38669.5,142.0,7.0,1052,0.0,1004.0,True
WP,TS,main,47845.75,136.5,12.5,1177,0.0,1004.0,True
WP,TS,main,38699.0,128.099990845,11.8000001907,266,0.0,1006.0,True
WP,TS,main,34428.25,153.199996948,8.30000019073,1258,0.0,1000.0,True
NA,ET,main,55058.25,328.0,11.8000001907,1603,30.0,1007.0,True
NA,TS,main,34950.5,269.899993896,27.7999992371,145,25.0,0.0,True
WP,TS,main,42672.25,143.0,16.0,1934,0.0,1006.0,True
WP,ET,main,45885.0,129.0,11.5,353,0.0,1008.0,True
WP,ET,main,46983.0,150.0,11.0,1495,0.0,1004.0,True
