% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Sep,144.399993896,12.0,1598,0.0,1008.0,True
ET,main,Jul,264.5,10.5,573,30.0,0.0,True
TS,main,Jul,272.299987793,28.0,176,35.0,0.0,True
TS,main,Aug,299.700012207,16.0,598,55.0,0.0,True
TS,main,Oct,145.0,4.0,706,0.0,1004.0,True
DS,main,Aug,298.600006104,14.8999996185,470,40.0,1007.0,True
ET,main,Sep,281.0,23.5,108,35.0,0.0,True
ET,main,Jan,44.2000007629,-15.7999992371,59,20.0,1001.0,True
TS,main,Aug,145.0,15.0,1923,0.0,1008.0,True
TS,main,Dec,145.0,6.19999980927,946,0.0,1004.0,True
TS,main,Dec,132.599990845,11.0,729,0.0,1006.0,True
TS,main,Aug,117.699996948,10.6999998093,137,0.0,1006.0,True
TS,main,Sep,308.200012207,28.2999992371,1788,25.0,1007.0,True
TS,main,Jul,123.5,16.5,115,0.0,1008.0,True
TS,main,Aug,141.0,15.0,1704,0.0,1008.0,True
TS,main,Jun,129.0,11.0,349,0.0,1004.0,True
ET,main,Jun,256.399993896,16.6000003815,183,75.0,0.0,True
ET,main,Sep,137.899993896,11.8000001907,1312,0.0,1004.0,True
ET,main,Sep,142.300003052,15.1999998093,1846,0.0,1006.0,True
ET,main,Jan,51.0999984741,-8.0,499,0.0,0.0,True
DS,main,Jul,299.200012207,12.0,147,25.0,1010.0,True
ET,main,Aug,296.399993896,18.7999992371,215,30.0,0.0,True
TS,main,Jul,140.399993896,10.5,1360,0.0,963.0,True
TS,main,Oct,137.0,10.0,1172,0.0,1002.0,True
ET,main,Jul,165.0,11.0,2147,0.0,1004.0,True
TS,main,Jan,60.5,-10.8000001907,1083,24.0,1000.0,True
