% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Jul,306.0,9.0,348,35.0,0.0,True
TS,main,Jul,304.5,9.5,403,30.0,0.0,True
TS,main,Aug,307.0,11.5,641,30.0,0.0,False
TS,main,Aug,338.0,16.0,504,35.0,0.0,False
ET,main,Sep,309.299987793,17.6000003815,1352,35.0,0.0,True
TS,main,Sep,331.899993896,11.0999994278,1217,35.0,0.0,False
ET,main,Sep,287.0,13.6999998093,189,35.0,0.0,True
ET,main,Oct,308.5,12.0,744,35.0,0.0,False
ET,main,Oct,280.0,21.0,78,30.0,0.0,True
ET,main,Oct,292.700012207,19.2999992371,100,30.0,0.0,False
ET,main,Jun,276.0,17.6999988556,214,30.0,0.0,True
ET,main,Sep,329.200012207,7.69999980927,1530,35.0,0.0,False
ET,main,Oct,266.200012207,14.0,163,30.0,0.0,True
ET,main,Jul,292.200012207,20.0,158,35.0,0.0,False
TS,main,Aug,317.700012207,11.8000001907,1299,50.0,0.0,True
TS,main,Sep,287.600006104,21.3999996185,66,50.0,0.0,True
ET,main,Sep,304.399993896,22.5,1137,60.0,0.0,True
TS,main,Sep,288.399993896,20.7999992371,111,30.0,0.0,False
ET,main,Sep,301.200012207,22.8999996185,867,40.0,0.0,False
ET,main,Oct,287.5,25.5,483,35.0,0.0,False
ET,main,Oct,288.0,21.1999988556,103,30.0,0.0,True
ET,main,Nov,323.0,19.0,2088,35.0,0.0,False
TS,main,Jun,279.5,13.0,325,30.0,0.0,True
ET,main,Sep,306.0,16.1999988556,975,50.0,0.0,True
ET,main,Oct,268.700012207,20.0,71,35.0,0.0,True
TS,main,Sep,309.0,19.5,1456,35.0,0.0,False
ET,main,Oct,280.799987793,11.0,168,30.0,0.0,False
ET,main,Oct,271.100006104,23.0,170,35.0,0.0,True
ET,main,Jun,276.399993896,19.3999996185,238,35.0,0.0,True
ET,main,Jun,283.600006104,22.8999996185,152,35.0,0.0,True
ET,main,Aug,306.899993896,28.6999988556,1714,30.0,0.0,False
ET,main,Aug,339.0,14.0,385,35.0,0.0,False
TS,main,Sep,327.0,10.1999998093,1650,35.0,0.0,True
ET,main,Sep,283.0,12.0,226,30.0,0.0,True
ET,main,Sep,328.100006104,30.2999992371,1478,50.0,0.0,False
TS,main,Oct,283.600006104,11.3000001907,125,35.0,0.0,True
TS,main,Oct,298.0,33.7000007629,1127,35.0,0.0,False
ET,main,Nov,277.5,18.5,325,30.0,0.0,True
ET,main,Jun,282.0,16.0,208,35.0,0.0,True
ET,main,Sep,281.0,25.0,67,30.0,0.0,True
ET,main,Sep,265.899993896,22.2999992371,339,35.0,0.0,True
ET,main,Oct,292.600006104,26.2999992371,794,45.0,0.0,False
ET,main,Nov,320.299987793,31.5,2037,35.0,0.0,False
TS,main,Mar,299.799987793,23.7999992371,823,50.0,0.0,False
ET,main,Jul,285.0,27.5,401,30.0,0.0,True
ET,main,Sep,308.299987793,15.3999996185,1098,40.0,0.0,True
ET,main,Sep,314.0,12.5,1087,35.0,0.0,True
TS,main,Oct,281.5,11.6999998093,255,30.0,0.0,True
ET,main,Oct,288.0,35.0,328,35.0,0.0,True
TS,main,Jun,277.5,10.5999994278,86,30.0,0.0,True
TS,main,Jun,276.0,25.0,242,35.0,0.0,True
TS,main,Jun,288.0,21.0,106,30.0,0.0,True
TS,main,Aug,280.5,16.6000003815,213,30.0,0.0,True
TS,main,Aug,304.700012207,15.3999996185,811,60.0,0.0,True
TS,main,Aug,274.299987793,23.0,142,25.0,0.0,True
TS,main,Aug,287.0,23.6999988556,279,35.0,0.0,True
TS,main,Sep,289.0,17.5,43,30.0,0.0,True
TS,main,Sep,277.0,22.0,22,30.0,0.0,True
TS,main,Oct,284.0,10.6999998093,55,30.0,0.0,True
TS,main,Nov,279.0,10.5,166,35.0,0.0,True
TS,main,Sep,301.700012207,17.0,763,60.0,0.0,True
TS,main,Aug,274.0,31.0,0,20.0,0.0,True
ET,main,Aug,294.5,25.1999988556,760,35.0,0.0,True
